page,title,page_type,family,template_family,shared_styles,shared_theme_js,theme_toggle,shared_nav,tailwind,legacy_markup,triage_status,triage_basis,state_review_readiness
courses/math114.html,MATH 114: Quantitative Reasoning,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math114Spring26Links.html,MATH 114 Spring Assignment Links,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,yes,yes,yes,yes,no,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math121.html,MATH 121 Course Resources | College Algebra,Course / Lab Manual / Long-form Instruction,other courses,generic course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/math130.html,MATH 130: Advanced Technical Mathematics,Course / Lab Manual / Long-form Instruction,math130 family,math130 hub,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/measurement-lab-manual.html,Measurement Lab Manual,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,no,no,no,no,Yellow,Missing shared navigation shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/phys103.html,PHYS 103 Course Resources | Elements of Physics Lab,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/physics-labs.html,Physics Labs Course Resources | Prof. Volk's Office,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/physlab1.html,PHYS 201L/231L Course Resources | Physics Lab 1,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/physlab2.html,PHYS 202L/232L Course Resources | Physics Lab 2,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/reflection-and-refraction-lab-manual.html,Reflection and Refraction Lab Manual,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,no,no,no,no,Yellow,Missing shared navigation shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/simple-pendulum-lab-manual.html,Simple Pendulum Lab Manual,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,no,no,no,no,Yellow,Missing shared navigation shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/sound-lab-manual.html,Sound Lab Manual,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,no,no,no,no,Yellow,Missing shared navigation shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/spectroscopy-lab-manual.html,Spectroscopy Lab Manual,Course / Lab Manual / Long-form Instruction,physics/lab family,physics lab/course pages,yes,yes,no,no,no,no,Yellow,Missing shared navigation shell,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
courses/test3-formulas.html,MATH114 Test 3 - Formula Reference Sheet (Full Two-Column with Z Table),Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,no,no,no,no,no,no,Red,No shared stylesheet; Inline CSS increases template drift risk; Missing shared navigation shell,desktop-light required; desktop-dark not present; mobile-light required; mobile-dark not present; keyboard/focus evidence unclear; hover evidence unclear
courses/test4-formulas.html,MATH114 Test 4 - Formula Reference Sheet,Course / Lab Manual / Long-form Instruction,math114 family,math114 course pages,no,no,no,no,yes,no,Red,Standalone Tailwind styling diverges from shared shell; Inline CSS increases template drift risk; Missing shared navigation shell,desktop-light required; desktop-dark not present; mobile-light required; mobile-dark not present; keyboard/focus evidence unclear; hover evidence in source
employeepay.html,Who Earns More? Fixed vs. Doubling Pay,Interactive Tool / Review / App-like Utility,shared-shell tools,shared shell / tool page,yes,yes,yes,yes,yes,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
growth.html,Math Quiz Prep: Growth Models,Interactive Tool / Review / App-like Utility,shared-shell tools,shared shell / tool page,yes,yes,yes,yes,yes,no,Green,Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
index.html,Prof. Volk's Office,Marketing / Editorial,shared-shell core,shared shell / editorial shell,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
infographic.html,The Church and Christianity in 2025,Marketing / Editorial,shared-shell core,shared shell / editorial shell,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
learn.html,Learning Resources,Marketing / Editorial,shared-shell core,shared shell / editorial shell,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
projects/NormalDistributionGame.html,68-95-99.7 Rule Game,Interactive Tool / Review / App-like Utility,project/tool standalone,standalone project/tool,no,no,no,no,no,no,Yellow,No shared stylesheet; Inline CSS increases template drift risk,desktop-light required; desktop-dark not present; mobile-light required; mobile-dark not present; keyboard/focus evidence unclear; hover evidence in source
projects/PHYS103LUO/KinematicsShortAnswer.html,Complete Kinematics Tutorial - Master Physics Motion,Interactive Tool / Review / App-like Utility,project/tool standalone,standalone project/tool,no,no,no,no,no,no,Yellow,No shared stylesheet; Inline CSS increases template drift risk,desktop-light required; desktop-dark not present; mobile-light required; mobile-dark not present; keyboard/focus evidence unclear; hover evidence in source
projects/PrayerAppV1/index.html,Prayer Tracker,Interactive Tool / Review / App-like Utility,project/tool standalone,standalone project/tool,no,no,no,no,yes,no,Yellow,Standalone Tailwind styling diverges from shared shell; Inline CSS increases template drift risk,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence unclear; hover evidence in source
projects/QuestionSpinner/questionspinner.html,The Question Game,Interactive Tool / Review / App-like Utility,project/tool standalone,standalone project/tool,no,no,no,no,yes,no,Yellow,Standalone Tailwind styling diverges from shared shell; Inline CSS increases template drift risk,desktop-light required; desktop-dark not present; mobile-light required; mobile-dark not present; keyboard/focus evidence unclear; hover evidence in source
projects/ResearchMentorship/MathJournals.html,Interactive Undergraduate Math Journals Resource,Marketing / Editorial,project/tool standalone,standalone project/tool,yes,yes,yes,yes,no,no,Green,Instruction page contains form/input controls needing interaction review,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
projects.html,Prof. Volk's Tools,Marketing / Editorial,shared-shell core,shared shell / editorial shell,yes,yes,yes,yes,no,no,Green,,desktop-light required; desktop-dark present; mobile-light required; mobile-dark present; keyboard/focus evidence in source; hover evidence in source
